title,console,publisher,developer,total_sale,na_sale,pal_sale,japan_sale,other_sale,release_date
Resident Evil 4    ,PS2,Capcom  ,Capcom Production Studio 4  ,3.62m,2.08m,0.83m,0.46m,0.25m,25th Oct 05  
Luigi's Mansion    ,GC,Nintendo  ,Nintendo EAD  ,3.60m,2.38m,0.67m,0.46m,0.10m,17th Nov 01  
Assassin's Creed Syndicate    ,PS4,Ubisoft  ,Ubisoft Quebec  ,3.60m,0.90m,2.06m,0.08m,0.55m,23rd Oct 15  
Assassin's Creed: Unity    ,XOne,Ubisoft  ,Ubisoft Montreal  ,3.58m,2.34m,0.90m,0.00m,0.34m,11th Nov 14  
Monster Hunter Generations    ,3DS,Capcom  ,Capcom  ,3.56m,0.42m,0.26m,2.82m,0.07m,15th Jul 16  
Grand Theft Auto: Liberty City Stories    ,PS2,Rockstar Games  ,Rockstar Leeds  ,3.54m,1.56m,1.40m,0.07m,0.50m,06th Jun 06  
The Getaway    ,PS2,Sony Computer Entertainment  ,Team Soho  ,3.54m,1.23m,1.77m,0.05m,0.49m,19th Jan 03  
Batman: Arkham Asylum    ,X360,Eidos Interactive  ,Rocksteady Studios  ,3.54m,2.24m,0.95m,0.02m,0.33m,25th Aug 09  
Assassin's Creed: Brotherhood    ,X360,Ubisoft  ,Ubisoft Montreal  ,3.53m,2.87m,0.39m,0.03m,0.25m,16th Nov 10  
LEGO Star Wars: The Video Game    ,PS2,Eidos Interactive  ,Traveller's Tales  ,3.53m,1.98m,1.14m,0.01m,0.41m,02nd Apr 05  
Resident Evil 5    ,X360,Capcom  ,Capcom  ,3.53m,2.13m,0.93m,0.12m,0.34m,13th Mar 09  
Rugrats in Paris: The Movie    ,PS,THQ  ,Avalanche Software  ,3.52m,1.96m,1.33m,N/A,0.23m,29th Oct 00  
Kung Fu    ,NES,Nintendo  ,Irem Software Engineering  ,3.50m,1.64m,0.38m,1.42m,0.06m,01st Oct 85  
Grand Theft Auto 2    ,PS,Rockstar Games  ,DMA Design  ,3.42m,1.13m,2.07m,N/A,0.22m,25th Oct 99  
Spider-Man 2    ,PS2,Activision  ,Treyarch  ,3.41m,1.75m,1.20m,0.02m,0.43m,28th Jun 04  
Watch Dogs 2    ,PS4,Ubisoft  ,Ubisoft  ,3.36m,0.98m,1.74m,0.12m,0.52m,15th Nov 16  
Star Wars Episode III: Revenge of the Sith    ,PS2,LucasArts  ,The Collective  ,3.32m,1.47m,1.39m,0.03m,0.43m,04th May 05  
Resident Evil VII: Biohazard    ,PS4,Capcom  ,Capcom  ,3.31m,0.88m,1.56m,0.41m,0.46m,24th Jan 17  
The Lord of the Rings: The Return of the King    ,PS2,Electronic Arts  ,"Hypnos Entertainment, Inc.  ",3.28m,1.50m,1.28m,0.05m,0.46m,05th Nov 03  
True Crime: Streets of LA    ,PS2,Activision  ,Luxoflux  ,3.27m,1.89m,1.05m,0.02m,0.31m,03rd Nov 03  
God of War: Chains of Olympus    ,PSP,Sony Computer Entertainment  ,Ready at Dawn  ,3.19m,1.48m,1.00m,0.04m,0.66m,04th Mar 08  
Middle-Earth: Shadow of Mordor    ,PS4,Warner Bros. Interactive Entertainment  ,Monolith Productions  ,3.19m,1.03m,1.60m,0.05m,0.51m,30th Sep 14  
Enter the Matrix    ,PS2,Atari  ,Shiny Entertainment  ,3.18m,1.78m,1.12m,0.09m,0.19m,14th May 03  
Spider-Man    ,PS,Activision  ,Neversoft Entertainment  ,3.13m,1.70m,1.25m,0.02m,0.16m,30th Aug 00  
Resident Evil 6    ,PS3,Capcom  ,Capcom  ,3.12m,0.88m,0.97m,0.88m,0.39m,02nd Oct 12  
Saints Row 2    ,X360,THQ  ,Volition Inc.  ,3.07m,1.98m,0.79m,0.02m,0.28m,14th Oct 08  
Metal Gear Solid V: The Phantom Pain    ,PS4,Konami Digital Entertainment  ,Kojima Productions  ,3.04m,0.97m,1.15m,0.50m,0.42m,01st Sep 15  
Tom Clancy's Splinter Cell    ,XB,Ubisoft  ,Ubisoft  ,3.02m,1.85m,1.04m,N/A,0.13m,17th Nov 02  
inFAMOUS    ,PS3,Sony Computer Entertainment  ,Sucker Punch Productions  ,2.99m,1.76m,0.68m,0.12m,0.42m,26th May 09  
Devil May Cry    ,PS2,Capcom  ,Capcom  ,2.99m,1.36m,0.86m,0.64m,0.13m,16th Oct 01  
Hitman 2: Silent Assassin    ,PS2,Eidos Interactive  ,IO Interactive  ,2.96m,1.36m,1.15m,0.04m,0.41m,01st Oct 02  
Assassin's Creed: Brotherhood    ,PS3,Ubisoft  ,Ubisoft Montreal  ,2.85m,1.87m,0.57m,0.11m,0.30m,16th Nov 10  
Skylanders: Spyro's Adventure    ,Wii,Activision  ,Toys for Bob  ,2.79m,1.35m,1.15m,N/A,0.30m,16th Oct 11  
