title,console,publisher,developer,total_sale,na_sale,pal_sale,japan_sale,other_sale,release_date
Dissidia 012: Duodecim Final Fantasy    ,PSP,Square Enix  ,Square Enix  ,0.89m,0.21m,0.13m,0.46m,0.09m,22nd Mar 11  
Super Street Fighter IV    ,X360,Capcom  ,Capcom / Dimps Corporation  ,0.88m,0.53m,0.21m,0.07m,0.07m,27th Apr 10  
WWE SmackDown vs. Raw 2011    ,X360,THQ  ,JAKKS Pacific  ,0.88m,0.44m,0.35m,0.00m,0.08m,26th Oct 10  
Fight Night Round 2    ,PS2,EA Sports  ,EA Sports  ,0.87m,0.72m,0.03m,N/A,0.12m,28th Feb 05  
Rocky    ,PS2,Ubisoft  ,Rage Software  ,0.86m,0.42m,0.33m,N/A,0.11m,18th Nov 02  
Tekken Tag Tournament 2    ,PS3,Namco Bandai Games  ,Bandai Namco Games  ,0.86m,0.28m,0.33m,0.13m,0.12m,11th Sep 12  
Street Fighter Alpha 2    ,PS,Capcom  ,Capcom  ,0.85m,0.14m,0.09m,0.57m,0.06m,30th Sep 96  
Dragon Ball Z: Burst Limit    ,PS3,Atari  ,Dimps Corporation  ,0.85m,0.22m,0.34m,0.18m,0.12m,10th Jun 08  
Street Fighter EX3    ,PS2,Capcom  ,Arika  ,0.85m,0.32m,0.25m,0.20m,0.08m,24th Oct 00  
Street Fighter X Tekken    ,PS3,Capcom  ,Capcom  ,0.84m,0.42m,0.22m,0.10m,0.10m,06th Mar 12  
WWE SmackDown vs. Raw 2009    ,Wii,THQ  ,Yuke's Media Creations  ,0.83m,0.44m,0.31m,N/A,0.08m,09th Nov 08  
Dragon Ball: Raging Blast 2    ,PS3,Namco Bandai  ,Spike  ,0.83m,0.43m,0.19m,0.11m,0.10m,02nd Nov 10  
Killer Instinct Gold    ,N64,Nintendo  ,Rare Ltd.  ,0.82m,0.61m,0.19m,N/A,0.01m,25th Nov 96  
Ready 2 Rumble Boxing: Round 2    ,PS2,Midway Games  ,Midway Games  ,0.81m,0.40m,0.31m,N/A,0.10m,23rd Oct 00  
Dragon Ball Z: Budokai Tenkaichi 2    ,PS2,Atari  ,Spike  ,0.79m,0.66m,0.02m,N/A,0.11m,07th Nov 06  
WCW Mayhem    ,N64,Electronic Arts  ,Kodiak Interactive  ,0.79m,0.63m,0.15m,N/A,0.01m,22nd Sep 99  
Fight Night Champion    ,X360,EA Sports  ,EA Canada  ,0.78m,0.40m,0.31m,N/A,0.07m,01st Mar 11  
Naruto Shippuden: Ultimate Ninja Storm 2    ,X360,Namco Bandai  ,CyberConnect2  ,0.78m,0.43m,0.27m,0.01m,0.07m,19th Oct 10  
Marvel vs. Capcom: Clash of Super Heroes    ,PS,Capcom  ,Capcom  ,0.78m,0.43m,0.30m,N/A,0.05m,27th Jan 00  
Marvel Nemesis: Rise of the Imperfects    ,PS2,Electronic Arts  ,Nihilistic Software  ,0.77m,0.64m,0.02m,N/A,0.10m,20th Sep 05  
Boxing    ,2600,Activision  ,Activision  ,0.77m,0.72m,0.04m,N/A,0.01m,17th Jun 80  
Dragon Ball: Raging Blast    ,PS3,Namco Bandai  ,Spike  ,0.77m,0.37m,0.19m,0.11m,0.10m,10th Nov 09  
Persona 4 Arena    ,PS3,Atlus  ,Arc System Works  ,0.77m,0.32m,0.12m,0.24m,0.08m,07th Aug 12  
MTV Celebrity Deathmatch    ,PS2,Gotham Games  ,Big Ape Productions  ,0.76m,0.37m,0.29m,N/A,0.10m,14th Oct 03  
Street Fighter Alpha: Warriors' Dreams    ,PS,Capcom  ,Capcom  ,0.76m,0.17m,0.11m,0.43m,0.05m,21st Dec 95  
SoulCalibur V    ,PS3,Namco Bandai  ,Project Soul  ,0.76m,0.35m,0.24m,0.07m,0.09m,31st Jan 12  
Mortal Kombat: Deception    ,XB,Midway Games  ,Midway Games  ,0.76m,0.61m,0.12m,N/A,0.03m,04th Oct 04  
Marvel vs. Capcom 2    ,PS2,Capcom  ,Capcom  ,0.76m,0.31m,0.24m,0.13m,0.08m,19th Nov 02  
Legends of Wrestling    ,PS2,Acclaim Entertainment  ,Acclaim Studios Salt Lake City  ,0.76m,0.37m,0.29m,N/A,0.10m,03rd Dec 01  
WWE SmackDown vs. Raw 2009    ,PSP,THQ  ,Yuke's Media Creations  ,0.75m,0.41m,0.20m,N/A,0.14m,09th Nov 08  
Street Fighter EX Plus Alpha    ,PS,Capcom  ,Arika  ,0.75m,0.28m,0.19m,0.23m,0.05m,30th Sep 97  
Capcom vs. SNK 2: Mark of the Millennium 2001     ,PS2,Capcom  ,Capcom  ,0.75m,0.22m,0.17m,0.30m,0.06m,06th Nov 01  
Jump Ultimate Stars    ,DS,Nintendo  ,Ganbarion  ,0.74m,N/A,N/A,0.74m,N/A,23rd Nov 06  
Mortal Kombat: Unchained    ,PSP,Midway Games  ,JGI Entertainment  ,0.74m,0.67m,0.01m,N/A,0.06m,15th Nov 06  
Naruto Shippuden: Ultimate Ninja Storm Generations    ,PS3,Namco Bandai Games  ,CyberConnect2  ,0.74m,0.27m,0.25m,0.14m,0.09m,13th Mar 12  
Dragon Ball Z: Ultime Menace    ,SNES,Bandai  ,TOSE  ,0.73m,N/A,N/A,0.73m,N/A,01st Jan 94  
WWE SmackDown vs. Raw 2010    ,Wii,THQ  ,JAKKS Pacific  ,0.73m,0.49m,0.17m,N/A,0.06m,20th Oct 09  
Mortal Kombat 4    ,N64,Midway Games  ,Eurocom Entertainment Software  ,0.73m,0.55m,0.17m,N/A,0.01m,23rd Jun 98  
X-Men: Mutant Academy 2    ,PS,Activision  ,Paradox Development  ,0.72m,0.40m,0.27m,N/A,0.05m,17th Sep 01  
Mortal Kombat (2011)    ,PSV,Warner Bros. Interactive Entertainment  ,NetherRealm Studios  ,0.71m,0.42m,0.15m,N/A,0.15m,02nd May 12  
Virtua Fighter 4: Evolution    ,PS2,Sega  ,Sega-AM2  ,0.71m,0.35m,0.27m,N/A,0.09m,13th Aug 03  
SoulCalibur VI    ,PS4,Bandai Namco Games  ,Project Soul  ,0.71m,0.44m,0.11m,0.04m,0.12m,19th Oct 18  
Godzilla: Destroy All Monsters Melee    ,GC,Atari  ,"Pipeworks Software, Inc.  ",0.71m,0.55m,0.14m,N/A,0.02m,08th Oct 02  
WWF Attitude    ,N64,Acclaim Entertainment  ,Iguana Entertainment  ,0.71m,0.57m,0.13m,N/A,0.01m,31st Jul 99  
Battle Arena Toshinden 2    ,PS,Playmates  ,Tamsoft  ,0.71m,0.15m,0.10m,0.41m,0.05m,01st Jan 96  
WWE SmackDown vs. Raw 2011    ,PSP,THQ  ,JAKKS Pacific  ,0.70m,0.22m,0.31m,N/A,0.17m,26th Oct 10  
Marvel vs. Capcom: Infinite    ,PS4,Capcom  ,Capcom  ,0.70m,0.36m,0.19m,0.04m,0.11m,19th Sep 17  
Dragon Ball Z: Budokai    ,GC,Atari  ,Pyramid  ,0.69m,0.53m,0.14m,N/A,0.02m,28th Oct 03  
Naruto: Clash of Ninja    ,GC,D3 Publisher  ,Tomy  ,0.68m,0.53m,0.14m,N/A,0.02m,07th Mar 06  
Super Smash Bros. Brawl    ,Wii,Nintendo  ,Project Sora  ,12.91m,6.64m,2.57m,2.67m,1.03m,09th Mar 08  
Super Smash Bros. Ultimate    ,NS,Nintendo  ,Bandai Namco Games  ,8.95m,4.22m,1.72m,2.41m,0.61m,07th Dec 18  
