title,console,publisher,developer,total_sale,na_sale,pal_sale,japan_sale,other_sale,release_date
Red Dead Redemption 2    ,PS4,Rockstar Games  ,Rockstar Games  ,13.94m,5.26m,6.21m,0.21m,2.26m,26th Oct 18  
The Legend of Zelda: Breath of the Wild    ,NS,Nintendo  ,Nintendo EPD  ,9.46m,4.54m,2.94m,1.26m,0.73m,03rd Mar 17  
Marvel's Spider-Man    ,PS4,Sony Interactive Entertainment  ,Insomniac Games  ,8.76m,3.64m,3.39m,0.32m,1.41m,07th Sep 18  
The Last of Us Remastered    ,PS4,Sony Computer Entertainment  ,Naughty Dog  ,6.77m,2.70m,2.86m,0.11m,1.10m,29th Jul 14  
Assassin's Creed III    ,PS3,Ubisoft  ,Ubisoft Montreal  ,6.50m,2.65m,2.61m,0.16m,1.08m,30th Oct 12  
The Last of Us    ,PS3,Sony Computer Entertainment America  ,Naughty Dog  ,6.27m,2.41m,2.57m,0.29m,0.99m,14th Jun 13  
Horizon: Zero Dawn    ,PS4,Sony Interactive Entertainment  ,Guerrilla Games  ,5.82m,2.20m,2.43m,0.28m,0.92m,28th Feb 17  
Red Dead Redemption 2    ,XOne,Rockstar Games  ,Rockstar Games  ,5.77m,3.76m,1.47m,N/A,0.54m,26th Oct 18  
Assassin's Creed III    ,X360,Ubisoft  ,Ubisoft Montreal  ,5.31m,3.13m,1.71m,0.03m,0.45m,30th Oct 12  
Watch Dogs    ,PS4,Ubisoft  ,Ubisoft Montreal  ,4.32m,1.40m,2.13m,0.11m,0.68m,27th May 14  
Assassin's Creed IV: Black Flag    ,PS3,Ubisoft  ,Ubisoft Montreal  ,3.94m,1.34m,1.86m,0.13m,0.62m,29th Oct 13  
Assassin's Creed IV: Black Flag    ,X360,Ubisoft  ,Ubisoft Montreal  ,3.34m,1.90m,1.14m,0.01m,0.30m,29th Oct 13  
Assassin's Creed IV: Black Flag    ,PS4,Ubisoft  ,Ubisoft Montreal  ,3.19m,1.07m,1.55m,0.06m,0.51m,15th Nov 13  
Assassin's Creed Odyssey    ,PS4,Ubisoft  ,Ubisoft Quebec  ,3.18m,1.18m,1.40m,0.09m,0.51m,05th Oct 18  
inFAMOUS: Second Son    ,PS4,Sony Computer Entertainment  ,Sucker Punch  ,3.01m,1.35m,1.09m,0.07m,0.50m,21st Mar 14  
Mafia III    ,PS4,2K Games  ,Hangar 13  ,2.87m,0.72m,1.67m,0.04m,0.44m,07th Oct 16  
Far Cry: Primal    ,PS4,Ubisoft  ,Ubisoft Montreal  ,2.73m,0.63m,1.61m,0.07m,0.41m,23rd Feb 16  
The Legend of Zelda: Majora's Mask 3D    ,3DS,Nintendo  ,GREZZO  ,2.50m,1.20m,0.64m,0.48m,0.18m,13th Feb 15  
Kinect: Disneyland Adventures    ,X360,Microsoft Studios  ,Frontier Developments  ,2.41m,1.73m,0.43m,0.02m,0.23m,15th Nov 11  
Batman: Arkham Origins    ,PS3,Warner Bros. Interactive Entertainment  ,Warner Bros. Interactive Entertainment  ,2.40m,1.08m,0.88m,0.04m,0.40m,25th Oct 13  
No Man's Sky    ,PS4,Hello Games  ,Hello Games  ,2.26m,0.89m,0.97m,0.04m,0.37m,09th Aug 16  
The Legend of Zelda: The Wind Waker    ,WiiU,Nintendo  ,Nintendo EAD  ,2.08m,1.04m,0.73m,0.15m,0.17m,04th Oct 13  
Just Cause 3    ,PS4,Square Enix  ,Avalanche Studios  ,1.98m,0.53m,1.07m,0.09m,0.30m,01st Dec 15  
Batman: Arkham Origins    ,X360,Warner Bros. Interactive Entertainment  ,Warner Bros. Interactive Entertainment  ,1.90m,1.15m,0.58m,0.00m,0.17m,25th Oct 13  
