title,console,publisher,developer,critic_score,user_score,total_sale,na_sale,pal_sale,japan_sale,other_sale,release_date
007 Legends    ,PC,Activision  ,Eurocom  ,N/A  ,N/A  ,0.00m,N/A,0.00m,N/A,0.00m,02nd Nov 12  
Battlefield: Bad Company 2 Ultimate Edition    ,X360,Electronic Arts  ,EA Digital Illusions CE  ,N/A  ,N/A  ,0.00m,N/A,0.00m,N/A,0.00m,31st Aug 10  
Xyanide    ,XB,Playlogic Game Factory  ,Playlogic  ,N/A  ,N/A  ,0.00m,0.00m,0.00m,N/A,0.00m,15th Aug 06  
Shadow Warrior    ,PC,GT Interactive  ,3D Realms  ,N/A  ,N/A  ,0.00m,N/A,0.00m,N/A,0.00m,31st Aug 97  
Strike Force Hydra    ,GBA,AIA  ,Awesome Developments  ,N/A  ,N/A  ,0.00m,0.00m,0.00m,N/A,0.00m,27th Oct 04  
PC Engine Best Collection: Soldier Collection    ,PSP,Hudson Soft  ,Hudson Soft  ,N/A  ,N/A  ,0.00m,N/A,N/A,0.00m,N/A,25th Sep 08  
Lost Planet: Extreme Condition Colonies Edition    ,X360,Capcom  ,Capcom  ,7.8  ,N/A  ,0.00m,N/A,0.00m,N/A,0.00m,27th May 08  
Terminator Salvation    ,PC,Warner Bros. Interactive  ,GRIN  ,N/A  ,N/A  ,0.00m,N/A,0.00m,N/A,0.00m,19th May 09  
Phalanx    ,GBA,Kemco  ,Zoom Inc.  ,5.0  ,N/A  ,0.00m,0.00m,0.00m,N/A,0.00m,27th Dec 01  
Brothers In Arms: Earned in Blood    ,PC,Ubisoft  ,Gearbox Software  ,N/A  ,N/A  ,0.00m,N/A,0.00m,N/A,0.00m,06th Oct 05  
DOOM VFR    ,PC,Bethesda Softworks  ,id Software  ,N/A  ,N/A  ,0.00m,N/A,0.00m,N/A,0.00m,01st Dec 17  
Tom Clancy's Ghost Recon Advanced Warfighter    ,PC,Ubisoft  ,GRIN  ,N/A  ,N/A  ,0.00m,N/A,0.00m,N/A,0.00m,03rd May 06  
Underwater Attack    ,DS,UFO Interactive  ,Cyber Planet Interactive  ,N/A  ,N/A  ,0.00m,0.00m,N/A,N/A,0.00m,15th Jul 08  
F.E.A.R.    ,PC,Sierra Entertainment  ,Monolith Productions  ,N/A  ,N/A  ,0.00m,N/A,0.00m,N/A,0.00m,17th Oct 05  
Strikers 1945 Plus Portable    ,PSP,Arc System Works  ,Psikyo / X-Nauts  ,N/A  ,N/A  ,0.00m,N/A,N/A,0.00m,N/A,06th Aug 09  
XIII    ,PC,Ubisoft  ,Ubisoft Paris  ,N/A  ,N/A  ,0.00m,N/A,0.00m,N/A,0.00m,18th Nov 03  
Red Orchestra: Ostfront 41-45    ,PC,Tripwire Interactive  ,Tripwire Interactive  ,N/A  ,N/A  ,0.00m,N/A,0.00m,N/A,0.00m,14th Mar 06  
Alpha Prime    ,PC,Meridian4  ,Black Element  ,N/A  ,N/A  ,0.00m,N/A,0.00m,N/A,0.00m,08th Nov 07  
Team Fortress 2    ,PC,Valve  ,Valve Corporation  ,9.2  ,N/A  ,0.00m,N/A,0.00m,N/A,0.00m,08th Apr 08  
Clive Barker's Undying    ,PC,Electronic Arts  ,DreamWorks Interactive  ,N/A  ,N/A  ,0.00m,N/A,0.00m,N/A,0.00m,21st Feb 01  
Castle of Shikigami III (JP sales)    ,Wii,Arc System Works  ,Arc System Works  ,N/A  ,N/A  ,0.00m,N/A,N/A,0.00m,N/A,13th Dec 07  
Army Men: Turf Wars    ,GBA,3DO  ,3DO  ,N/A  ,N/A  ,0.00m,0.00m,0.00m,N/A,0.00m,29th Sep 02  
Star Trek Voyager: Elite Force    ,PC,Activision  ,Raven Software  ,N/A  ,N/A  ,0.00m,N/A,0.00m,N/A,0.00m,20th Sep 00  
The Operative: No One Lives Forever    ,PC,Fox Interactive  ,Monolith Productions  ,8.9  ,N/A  ,0.00m,N/A,0.00m,N/A,0.00m,09th Nov 00  
Cryostasis: Sleep of Reason    ,PC,Aspyr  ,Action Forms Ltd.  ,7.0  ,N/A  ,0.00m,N/A,0.00m,N/A,0.00m,24th Apr 09  
"Warhammer 40,000: Eternal Crusade    ",PC,Behaviour Interactive  ,Behaviour Interactive Inc.  ,N/A  ,N/A  ,0.00m,N/A,0.00m,N/A,0.00m,16th Mar 17  
Vietcong 2    ,PC,2K Games  ,Pterodon  ,N/A  ,N/A  ,0.00m,N/A,0.00m,N/A,0.00m,24th Oct 05  
Brothers In Arms: Road to Hill 30    ,PC,Ubisoft  ,Gearbox Software  ,N/A  ,N/A  ,0.00m,N/A,0.00m,N/A,0.00m,15th Mar 05  
Delta Force 2    ,PC,NovaLogic  ,NovaLogic  ,N/A  ,6.0  ,0.00m,N/A,0.00m,N/A,0.00m,31st Oct 99  
Warpath    ,XB,Groove Games  ,Digital Extremes  ,N/A  ,N/A  ,0.00m,0.00m,0.00m,N/A,0.00m,24th Jul 06  
Battlefield: Bad Company 2 Ultimate Edition    ,PS3,Electronic Arts  ,EA Digital Illusions CE  ,N/A  ,N/A  ,0.00m,N/A,0.00m,N/A,0.00m,31st Aug 10  
NecroVisioN: Lost Company    ,PC,1C Company  ,Farm 51  ,N/A  ,N/A  ,0.00m,N/A,0.00m,N/A,0.00m,19th Feb 10  
Tom Clancy's Rainbow Six: Patriots    ,PS3,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,0.00m,N/A,0.00m,N/A,0.00m,01st Jan 14  
Bionicle Heroes    ,PC,Eidos Interactive  ,Traveller's Tales  ,5.4  ,N/A  ,0.00m,N/A,0.00m,N/A,0.00m,14th Nov 06  
