title,platform,total_sale,na_sale,pal_sale,japan_sale,other_sale
Koisuru Otome to Shugo no Tate Portable,PSP,0.02,NA,NA,0.02,NA
PachiPara 3D: Ooumi Monogatari 2 - Pachi Pro Fuuunroku Hana - Kibou to Uragiri no Gakuen Seikatsu,3DS,0.02,NA,NA,0.02,NA
Shirogane x Spirits!,PlayStation Vita,0.02,NA,NA,0.02,NA
Kono Subarashii Sekai ni Shukufuku o! Kono Yokubukai Game ni Shinpan o!,PlayStation Vita,0.02,NA,NA,0.02,NA
Bakumatsu Renka: Karyuu Kenshi-den,PlayStation 2,0.02,NA,NA,0.02,NA
Iridium Runners,PlayStation 2,0.02,0.01,0.01,NA,0.00
Nodame Cantabile: Tanoshii Ongaku no Jikan Desu,DS,0.02,NA,NA,0.02,NA
"Shounen Onmyouji: Tsubasa Yoima, Ten e Kaere",PlayStation 2,0.02,NA,NA,0.02,NA
Princess Frontier Portable,PSP,0.02,NA,NA,0.02,NA
Saints Row: Gat out of Hell,Xbox One,0.02,NA,0.02,NA,0.00
Tiny Toon Adventures: Wacky Stackers,GBA,0.02,0.01,0.00,NA,0.00
Mary King's Riding School 2,Wii,0.02,NA,0.02,NA,0.00
Rock Blast,Wii,0.02,0.02,NA,NA,0.00
Higurashi no Naku Koro ni Iki,PlayStation 3,0.02,NA,NA,0.02,NA
Touch Detective (JP sales),DS,0.02,NA,NA,0.02,NA
Emergency Mayhem,Wii,0.02,0.02,0.00,NA,0.00
Mega Man Legacy Collection 2,Xbox One,0.02,0.02,NA,NA,0.00
Metal Max Xeno,PlayStation Vita,0.02,NA,NA,0.02,NA
Rising Zan: The Samurai Gunman,PlayStation,0.02,0.01,0.01,NA,0.00
Ben 10 Omniverse 2,3DS,0.02,NA,0.02,NA,0.00
Titanic Mystery,Wii,0.02,0.02,0.00,NA,0.00
Mai-Otome Hime: Otome Butou Shi,PlayStation 2,0.02,NA,NA,0.02,NA
Robopon 2: Cross Version,GBA,0.02,0.01,0.00,NA,0.00
TMNT: Mutant Melee,Xbox,0.02,0.01,0.00,NA,0.00
Ultimate Puzzle Games,GBA,0.02,0.01,0.00,NA,0.00
Katekyoo Hitman Reborn! Kindan no Yami no Delta,PlayStation 2,0.02,NA,NA,0.02,NA
Kimikare: New Semester,PSP,0.02,NA,NA,0.02,NA
Haneru no Tobira Wii: Girigirissu,Wii,0.02,NA,NA,0.02,NA
Norn + Nonette: Last Era,PlayStation Vita,0.02,NA,NA,0.02,NA
RoboCop,Xbox,0.02,0.01,0.00,NA,0.00
Dragon Quest X: All in One Package,Wii U,0.02,NA,NA,0.02,NA
Elminage II: Sousei no Megami to Unmei no Daichi,PSP,0.02,NA,NA,0.02,NA
Dungeons 3,Xbox One,0.02,0.02,NA,NA,0.00
Blazing Souls,PlayStation 2,0.02,NA,NA,0.02,NA
Bomberman 2,DS,0.02,NA,0.01,0.00,0.00
Legendary,PC,0.02,NA,0.02,NA,0.00
Barnyard Blast: Swine of the Night,DS,0.02,0.02,NA,NA,0.00
NHL 2K3,GameCube,0.02,0.01,0.00,NA,0.00
Seinaru Kana: Orichalcum no Na no Motoni,PSP,0.02,NA,NA,0.02,NA
Skullgirls: 2nd Encore,PlayStation 4,0.02,NA,NA,0.02,NA
The Hustle: Detroit Streets,Xbox,0.02,0.01,0.00,NA,0.00
This Is The Police,PlayStation 4,0.02,0.01,NA,NA,0.00
Tail of the Sun,PlayStation,0.02,0.01,0.01,NA,0.00
Wild West Shootout,Wii,0.02,0.01,0.01,NA,0.00
BoxBoy! Hakobume Box,3DS,0.02,NA,NA,0.02,NA
Space Channel 5: Ulala's Cosmic Attack,GBA,0.02,0.01,0.00,NA,0.00
Blood Bowl: Legendary Edition,PC,0.02,NA,0.01,NA,0.00
Disney Sports Basketball,GBA,0.02,0.01,0.00,NA,0.00
Virtua Quest,PlayStation 2,0.02,0.01,0.01,NA,0.00
Ozzy & Drix,GBA,0.02,0.01,0.00,NA,0.00
Balls of Fury,DS,0.02,0.02,0.00,NA,0.00
Heroes of the Pacific,PC,0.02,NA,0.02,NA,0.00
Combat Flight Simulator 3: Battle for Europe,PC,0.02,0.01,0.01,NA,0.00
Nobunaga no Yabou: Soutensoku with Power-Up Kit,PSP,0.02,NA,NA,0.02,NA
Yamasa Digi World SP: Moeyo! Kung Fu Shukujo,PlayStation 2,0.02,NA,NA,0.02,NA
Castle Shikigami 2,PlayStation 2,0.02,0.01,0.01,NA,0.00
Commandos 3: Destination Berlin,PC,0.02,NA,0.02,NA,0.00
Disney Sports Football,GameCube,0.02,0.01,0.00,NA,0.00
Flowers: Autumn Story,PlayStation Vita,0.02,NA,NA,0.02,NA
Rabbids Invasion: The Interactive TV Show,PlayStation 4,0.02,0.00,0.01,NA,0.00
Wizardry Twin Pack,PlayStation 3,0.02,NA,NA,0.02,NA
Gadget Racers (PAL),PlayStation 2,0.02,NA,NA,0.02,NA
Moe Star: Moeru Toudai Eigojuku,DS,0.02,NA,NA,0.02,NA
Romance of the Three Kingdoms 13 with Power-Up Kit,PlayStation Vita,0.02,NA,NA,0.02,NA
Freestyle Metal X,GameCube,0.02,0.01,0.00,NA,0.00
Painkiller: Hell & Damnation,Xbox 360,0.02,0.00,0.01,NA,0.00
Pulse Racer,Xbox,0.02,0.01,0.00,NA,0.00
Saka Agari Hurricane Portable,PlayStation Vita,0.02,NA,NA,0.02,NA
Rad Rodgers,Xbox One,0.02,0.02,NA,NA,0.00
Tegami Bachi: Kokoro Tsumugu Mono e,PSP,0.02,NA,NA,0.02,NA
Turbo: Super Stunt Squad,3DS,0.02,NA,0.02,NA,0.00
Turbo: Super Stunt Squad,PlayStation 3,0.02,NA,0.01,NA,0.00
Uru: Ages Beyond Myst,PC,0.02,NA,0.02,NA,0.00
Antiphona no Seikahime: Tenshi no Gakufu Op.A,PSP,0.02,NA,NA,0.02,NA
NBA 07,PlayStation 2,0.02,0.01,0.01,NA,0.00
Rogue Trooper,Xbox,0.02,0.01,0.00,NA,0.00
Spirits & Spells,GameCube,0.02,0.01,0.00,NA,0.00
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.2,PlayStation 3,0.02,NA,NA,0.02,NA
Canada Hunt,Wii,0.02,0.02,NA,NA,0.00
Full Metal Panic! Fight: Who Dares Wins,PlayStation 4,0.02,NA,NA,0.02,NA
Myth Makers: Super Kart GP,Wii,0.02,0.01,0.00,NA,0.00
Eyeshield 21: Portable Edition,PSP,0.02,NA,NA,0.02,NA
Tom Clancy's Splinter Cell Classic Trilogy HD,PSN,0.02,0.02,NA,NA,0.00
FlatOut 4: Total Insanity,PlayStation 4,0.02,0.01,NA,NA,0.00
Kabushiki Baibai Trainer: Kabutore! Next,DS,0.02,NA,NA,0.02,NA
Machi: Unmei no Kousaten,PSP,0.02,NA,NA,0.02,NA
Starhawk,PlayStation 3,0.02,NA,NA,0.02,NA
Golden Nugget Casino DS,DS,0.02,0.02,NA,NA,0.00
Mechanic Master 2,DS,0.02,0.02,NA,NA,0.00
Machi-ing Maker 4,PlayStation 3,0.02,NA,NA,0.02,NA
World Class Rugby 2: Kokunai Gekitou Hen '93,SNES,0.02,NA,NA,0.02,NA
Monster High 13 Wishes,3DS,0.02,NA,0.02,NA,0.00
Ketsui Death Label,DS,0.02,NA,NA,0.02,NA
Bejeweled Blitz,PC,0.02,NA,0.01,NA,0.00
SD Gundam Force,GBA,0.02,0.01,0.00,NA,0.00
Clover no Kuni no Alice,PSP,0.02,NA,NA,0.02,NA
Shonen Jump's Yu-Gi-Oh! GX Card Almanac,DS,0.02,NA,NA,0.02,NA
Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 9: CR Fever Captain Harlock,PlayStation 2,0.02,NA,NA,0.02,NA
Art Academy: Home Studio,Wii U,0.02,NA,0.00,0.02,0.00
Micro Machines V4,PSP,0.02,0.01,0.00,NA,0.00
GA - Geijutsuka Art Design Class: Slapstick Wonder Land,PSP,0.02,NA,NA,0.02,NA
Planetarian: Chiisana Hoshi no Yume,PSP,0.02,NA,NA,0.02,NA
Cabbage Patch Kids: The Patch Puppy Rescue,GBA,0.02,0.01,0.00,NA,0.00
Roommate Asami: Okusama wa Joshikousei,PlayStation 2,0.02,NA,NA,0.02,NA
Worms,XBL,0.02,NA,0.02,NA,0.00
Blackguards 2,Xbox One,0.02,0.02,NA,NA,0.00
Pirates: Legend of the Black Buccaneer,PlayStation 2,0.02,0.01,0.01,NA,0.00
Sherlock Holmes: The Devil's Daughter,PC,0.02,NA,0.02,NA,0.00
Super Speed Machines,DS,0.02,0.02,NA,NA,0.00
Chaos;Child,PlayStation 3,0.02,NA,NA,0.02,NA
Ultraman All-Star Chronicle,PSP,0.02,NA,NA,0.02,NA
Amagoushi no Yakata,PlayStation 2,0.02,NA,NA,0.02,NA
Ginga Tetsudou 999 DS,DS,0.02,NA,NA,0.02,NA
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.3,PlayStation 3,0.02,NA,NA,0.02,NA
A-Train Exp.,PlayStation 4,0.02,NA,NA,0.02,NA
Aedis Eclipse: Generation of Chaos,PSP,0.02,0.02,NA,NA,0.00
Franklin: A Birthday Surprise,PlayStation 2,0.02,0.01,0.01,NA,0.00
Tennis World Tour,Switch,0.02,0.02,NA,NA,0.00
Without Warning,Xbox,0.02,0.01,0.00,NA,0.00
Let's Dance with Mel B,Xbox 360,0.02,NA,0.02,NA,0.00
NEVES,DS,0.02,0.01,0.00,NA,0.00
Suzunone Seven: Rebirth Knot,PlayStation 2,0.02,NA,NA,0.02,NA
Gal Metal!,Switch,0.02,0.01,NA,0.01,0.00
"Hanayaka Kana, Ware ga Ichizoku: Tasogare Polarstar",PSP,0.02,NA,NA,0.02,NA
Digimon Rumble Arena,PlayStation,0.02,0.01,0.01,NA,0.00
Zoids Dash,DS,0.02,NA,NA,0.02,NA
Vitamin X Evolution Plus,PSP,0.02,NA,NA,0.02,NA
Dungeons - The Dark Lord,PC,0.02,0.00,0.01,NA,0.00
Hurry Up Hedgehog!,DS,0.02,0.02,NA,NA,0.00
Runbow,3DS,0.02,0.02,NA,NA,0.00
Final Fight: Streetwise,Xbox,0.02,0.01,0.00,NA,0.00
Goblin Commander: Unleash the Horde,GameCube,0.02,0.01,0.00,NA,0.00
Kamiwaza Wanda: Kira Kira Ichibangai Kikiippatsu!,3DS,0.02,NA,NA,0.02,NA
Nano Diver,PSP,0.02,NA,NA,0.02,NA
Elkrone no Atelier: Dear for Otomate,PSP,0.02,NA,NA,0.02,NA
Top Gear RPM Tuning,Xbox,0.02,0.01,0.00,NA,0.00
4 Play Collection - Dark Mysteries,PC,0.02,NA,0.02,NA,0.00
Memories Off: Yubikiri no Kioku,Xbox 360,0.02,NA,NA,0.02,NA
Chaos;Child,PlayStation 4,0.02,NA,NA,0.02,NA
Minecraft: Story Mode - Season Two,Switch,0.02,0.02,NA,NA,0.00
Otometeki Koi Kakumei * Love Revo!! DS,DS,0.02,NA,NA,0.02,NA
Summer Challenge: Athletics Tournament,Wii,0.02,NA,0.02,NA,0.00
Destiny 2: Forsaken,PC,0.02,NA,0.02,NA,0.00
Project Highrise: Architect's Edition,PlayStation 4,0.02,0.01,NA,NA,0.00
Rogue Trooper Redux,Xbox One,0.02,0.02,NA,NA,0.00
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.4,PlayStation 3,0.02,NA,NA,0.02,NA
Cross  Channel,PSP,0.02,NA,NA,0.02,NA
Winning Post 8 2016,PlayStation 3,0.02,NA,NA,0.02,NA
Cabela's Big Game Hunter: Pro Hunts,Wii U,0.02,0.02,NA,NA,0.00
Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Machiteba Tengoku! Makereba Jigoku! Ryoutsuryuu Ikkakusenkin Daisakusen!,DS,0.02,NA,NA,0.02,NA
Touch My Katamari,PlayStation Vita,0.02,0.01,0.00,0.01,NA
Touhou Shinpiroku ~ Urban Legend in Limbo,PlayStation 4,0.02,NA,NA,0.02,NA
Gaist Crusher God,3DS,0.02,NA,NA,0.02,NA
"Warhammer 40,000: Inquisitor - Martyr",Xbox One,0.02,0.02,NA,NA,0.00
Tomb Raider: Legend,PC,0.02,NA,0.02,NA,0.00
Memories Off: Yubikiri no Kikou,PSP,0.02,NA,NA,0.02,NA
Zero no Tsukaima: Muma ga Tsumugu Yokaze no Nocturne,PlayStation 2,0.02,NA,NA,0.02,NA
L.G.S: Shinsetsu Houshinengi,PSP,0.02,NA,NA,0.02,NA
Battle Engine Aquila,Xbox,0.02,0.01,0.00,NA,0.00
Gotouchi Tetsudou for Nintendo Switch!!,Switch,0.02,NA,NA,0.02,NA
Silent Hill: Book of Memories,PlayStation Vita,0.02,NA,0.01,NA,0.00
Kiss Bell,PlayStation Vita,0.02,NA,NA,0.02,NA
Vikings: Wolves of Midgard,PC,0.02,0.01,0.00,NA,0.00
Discworld II: Mortality Bytes!,PlayStation,0.02,0.01,0.01,NA,0.00
One Piece Mansion,PlayStation,0.02,0.01,0.01,NA,0.00
Platypus,PSP,0.02,0.02,0.00,NA,0.00
Uchi no 3 Shimai DS,DS,0.02,NA,NA,0.02,NA
Gun Gun Pixies,PlayStation Vita,0.02,NA,NA,0.02,NA
My Ballet Studio,DS,0.02,0.01,0.00,NA,0.00
Soul Eater: Monotone Princess,Wii,0.02,NA,NA,0.02,NA
Strike Witches: Shirogane no Tsubasa,Xbox 360,0.02,NA,NA,0.02,NA
Big Idea's VeggieTales: LarryBoy and the Bad Apple,GBA,0.02,0.01,0.00,NA,0.00
Peggle Nights,PC,0.02,NA,0.02,NA,0.00
Agatha Christie: Death on the Nile,PC,0.02,NA,0.01,NA,0.00
Dancing on Ice,DS,0.02,NA,0.01,NA,0.00
Fernbus Simulator,PC,0.02,NA,0.02,NA,0.00
The Haunted: Hell's Reach,PC,0.02,0.02,NA,NA,0.00
Emergency 2012,DS,0.02,NA,0.01,NA,0.00
Metal Fight Beyblade: Choujou Kessen! Big Bang Bladers,DS,0.02,NA,NA,0.02,NA
Moujuutsukai to Oujisama,PlayStation 2,0.02,NA,NA,0.02,NA
Cube,PSP,0.02,0.02,NA,NA,0.00
Let's Pilates!,DS,0.02,0.02,NA,NA,0.00
Shinseiki GPX Cyber Formula: Road To The INFINITY 4,PlayStation 2,0.02,NA,NA,0.02,NA
Command & Conquer 3: Kane's Wrath,PC,0.02,NA,0.02,NA,0.00
Rogue Trooper Redux,PlayStation 4,0.02,0.01,NA,NA,0.00
Army Men: Major Malfunction,Xbox,0.02,0.01,0.00,NA,0.00
Hands On! Tangrams,DS,0.02,0.02,NA,NA,0.00
Vikings: Wolves of Midgard,Xbox One,0.02,0.01,NA,NA,0.00
Dunamis 15,Xbox 360,0.02,NA,NA,0.02,NA
Sansuu Puzzle de Migaku: Gakken Otona no Shikou Sense,DS,0.02,NA,NA,0.02,NA
Yoake Yori Ruriiro na Portable,PSP,0.02,NA,NA,0.02,NA
Big Bass Fishing,PlayStation,0.02,NA,NA,0.02,0.00
Utawarerumono: Chiriyukusha e no Komoriuta,PlayStation Vita,0.02,NA,NA,0.02,NA
Ferrari: The Race Experience,Wii,0.02,NA,0.02,NA,0.00
Pippa Funnell: Ranch Rescue,Wii,0.02,NA,0.02,NA,0.00
Pirates of the Burning Sea,PC,0.02,NA,0.02,NA,0.00
Reine des Fleurs,PlayStation Vita,0.02,NA,NA,0.02,NA
Command & Conquer Collection,PC,0.02,0.01,0.00,NA,0.00
Densha de Go! Shinkansen EX: Sanyou Shinkansen-hen,Wii,0.02,NA,NA,0.02,NA
Namco Museum 50th Anniversary (JP sales),PlayStation 2,0.02,NA,NA,0.02,NA
Mana Khemia 2: Ochita Gakuen to Renkinjutsushi Tachi Portable+,PSP,0.02,NA,NA,0.02,NA
Chou!! Super Nep League DS,DS,0.02,NA,NA,0.02,NA
Irritating Stick,PlayStation,0.02,0.01,0.01,NA,0.00
Kamaitachi no Yoru: Rinne Saisei,PlayStation Vita,0.02,NA,NA,0.02,NA
Saenai Kanojo no Sodatekata: Blessing Flowers,PlayStation Vita,0.02,NA,NA,0.02,NA
WTA Tour Tennis,GBA,0.02,0.01,0.00,NA,0.00
Judge Dredd: Dredd Vs Death,Xbox,0.02,0.01,0.00,NA,0.00
Simple 2000 Series Vol. 105: The Maid Fuku to Kikanjuu,PlayStation 2,0.02,NA,NA,0.02,NA
Borderlands: Game of the Year Edition,Xbox 360,0.02,NA,0.01,NA,0.00
Davis Cup Tennis,GBA,0.02,0.01,0.00,NA,0.00
Otome Riron to Sono Shuuhen: Bon Voyage,PlayStation Vita,0.02,NA,NA,0.02,NA
Pro Rally,GameCube,0.02,0.01,0.00,NA,0.00
Kimi ni Todoke: Sodateru Omoi,DS,0.02,NA,NA,0.02,NA
Turbo: Super Stunt Squad,Wii,0.02,NA,0.02,NA,0.00
Brave Story: Boku no Kioku to Negai,DS,0.02,NA,NA,0.02,NA
Memories Off #5: Encore,PlayStation 2,0.02,NA,NA,0.02,NA
Zombie Hunters 2,PlayStation 2,0.02,NA,NA,0.02,NA
Custom Drive,PSP,0.02,NA,NA,0.02,NA
Let's Yoga!,DS,0.02,NA,0.00,0.02,0.00
Cookie & Cream,DS,0.02,0.01,0.00,NA,0.00
Just Cause,PC,0.02,NA,0.01,NA,0.00
The Great Ace Attorney 1 & 2 Special Edition,3DS,0.02,NA,NA,0.02,NA
Tsuyo Kiss 2 Gakki: Swift Love,PlayStation 2,0.02,NA,NA,0.02,NA
Konductra,DS,0.02,0.02,NA,NA,0.00
Pillars of Eternity,PC,0.02,NA,0.02,NA,0.00
Samurai Jack: The Shadow of Aku,GameCube,0.02,0.01,0.00,NA,0.00
The Book of Unwritten Tales 2,Wii U,0.02,NA,0.02,NA,0.00
Winning Post 7 2013,PlayStation Vita,0.02,NA,NA,0.02,NA
Project Highrise: Architect's Edition,Switch,0.02,0.01,NA,NA,0.00
Airline Tycoon,PC,0.02,NA,0.01,NA,0.00
Lost: Via Domus,PC,0.02,NA,0.01,NA,0.00
The Incredibles: Rise of the Underminer,PC,0.02,0.01,NA,NA,0.00
Busou Renkin: Youkoso Papillon Park e,PlayStation 2,0.02,NA,NA,0.02,NA
Ore wa Shoujo Mangaka,PSP,0.02,NA,NA,0.02,NA
Puyo Puyo Tetris,Wii U,0.02,NA,NA,0.02,NA
Unreal Tournament 2004,PC,0.02,NA,0.02,NA,0.00
Exhibition Volume 6,Xbox,0.02,0.01,0.00,NA,0.00
Hyakka Yakou,PlayStation Vita,0.02,NA,NA,0.02,NA
Oshiri Kajiri Mushi no Rhythm Lesson DS: Kawai Ongaku Kyoushitsu Kanshuu,DS,0.02,NA,NA,0.02,NA
Kuma no Pooh-San: 100 Acre no Mori no Cooking Book,DS,0.02,NA,NA,0.02,NA
Elven Legacy Collection,PC,0.02,NA,0.01,NA,0.00
The Longest Journey,PC,0.02,NA,0.01,NA,0.00
Grisaia no Meikyuu: Le Labyrinthe de la Grisaia,PlayStation Vita,0.02,NA,NA,0.02,NA
Valentino Rossi: The Game,PC,0.02,NA,0.02,NA,0.00
Pirates PlundArrr,Wii,0.02,0.02,NA,NA,0.00
Winning Post 8 2016,PlayStation Vita,0.02,NA,NA,0.02,NA
Disciples III: Renaissance,PC,0.02,NA,0.01,NA,0.00
Kao the Kangaroo Round 2,GameCube,0.02,0.01,0.00,NA,0.00
The Dark Hills of Cherai,PC,0.02,NA,0.01,NA,0.00
Sarah: Keeper of the Unicorn,DS,0.02,0.01,NA,NA,0.00
Zoey 101: Field Trip Fiasco,DS,0.02,0.02,NA,NA,0.00
Battle Spirits: Hero's Soul,PSP,0.02,NA,NA,0.02,NA
Dragon Star Varnir,PlayStation 4,0.02,NA,NA,0.02,NA
Dream C Club: GoGo.,PlayStation 3,0.02,NA,NA,0.02,NA
Marvel Superheroes 3D: Grandmaster's Challenge,Wii,0.02,NA,0.01,NA,0.00
Usavichi: Game no Jikan,DS,0.02,NA,NA,0.02,NA
Pachi-Slot Higrashi no Naku Koro ni Matsuri,PlayStation 2,0.02,NA,NA,0.02,NA
Touhou Genso Wanderer Reloaded,PlayStation 4,0.02,0.01,NA,NA,0.00
Otona no Renai Shousetsu: Harlequin Selection,DS,0.02,NA,NA,0.02,NA
Dark Void,PC,0.02,NA,0.01,NA,0.00
Fortnite,PC,0.02,NA,0.02,NA,0.00
W.L.O. Sekai Renai Kikousen,Xbox 360,0.02,NA,NA,0.02,NA
White Album 2: Shiawase no Mukougawa,PlayStation Vita,0.02,NA,NA,0.02,NA
Final Fantasy XI: All-In-One Pack 2006,Xbox 360,0.02,NA,NA,0.02,NA
Hiiro no Kakera: Omoi Iro no Kioku,PlayStation Vita,0.02,NA,NA,0.02,NA
Torment: Tides of NumenÃ©ra,PC,0.02,NA,0.02,NA,0.00
Tour de France 2018,PlayStation 4,0.02,NA,0.01,NA,0.00
Joint Operations: Combined Arms,PC,0.02,0.01,NA,NA,0.00
Mario & Luigi: Paper Jam & Mario Kart 7 Double Pack,3DS,0.02,NA,NA,0.02,NA
Fallen Legion: Rise to Glory,Switch,0.02,0.01,NA,NA,0.00
Total War Attila: Tyrants & Kings,PC,0.02,NA,0.02,NA,0.00
Poupee Girl DS 2: Elegant Mint / Sweet Pink Style,DS,0.02,NA,NA,0.02,NA
Winning Post 7: Maximum 2007,PlayStation 3,0.02,NA,NA,0.02,NA
DJ Star,DS,0.02,0.01,0.00,NA,0.00
The Sims 4: Luxury Party Stuff,PC,0.02,NA,0.02,NA,0.00
Dragon Booster,DS,0.02,0.02,0.00,NA,0.00
Storm Lover 2nd,PSP,0.02,NA,NA,0.02,NA
Mario vs. Donkey Kong: Tipping Stars,Wii U,0.02,NA,NA,0.02,NA
Nights of Azure 2,PlayStation Vita,0.02,NA,NA,0.02,NA
Arcana Famiglia 2,PSP,0.02,NA,NA,0.02,NA
Ratchet & Clank Collection,PlayStation Vita,0.02,NA,0.01,NA,0.00
Two Worlds,PC,0.02,NA,0.02,NA,NA
Nil Admirari no Tenbin: Kuroyuri En'youtan,PlayStation Vita,0.02,NA,NA,0.02,NA
PDC World Championship Darts 2008,DS,0.02,0.01,NA,NA,0.00
Shinkyoku Soukai Polyphonica,PlayStation 2,0.02,NA,NA,0.02,NA
Rugby World Cup 2015,PlayStation Vita,0.02,NA,0.01,NA,0.00
San Goku Shi DS 2,DS,0.02,NA,NA,0.02,NA
Shin Sangoku Musou Online: Souten Ranbu,PlayStation 3,0.02,NA,NA,0.02,NA
Majesty 2: The Fantasy Kingdom Sim,PC,0.02,0.01,NA,NA,0.00
V-Rally 3,Xbox,0.02,0.01,0.00,NA,0.00
Dead to Rights,GBA,0.02,0.01,0.00,NA,0.00
Full House Kiss 2,PlayStation 2,0.02,NA,NA,0.02,NA
Thunder Force VI,PlayStation 2,0.02,NA,NA,0.02,NA
Daito Giken Koushiki Pachi-Slot Simulator: Ossu! Misao + Maguro Densetsu Portable,PSP,0.02,NA,NA,0.02,NA
Dinotopia: The Sunstone Odyssey,GameCube,0.02,0.01,0.00,NA,0.00
SpongeBob: HeroPants,PlayStation Vita,0.02,0.01,0.00,NA,0.00
PachiPara 3D,3DS,0.02,NA,NA,0.02,NA
Meiji Toukyou Renka: Twilight Kiss,PSP,0.02,NA,NA,0.02,NA
Senran Kagura: Peach and Reflexions Limited Double Pack,Switch,0.02,NA,NA,0.02,NA
LEGO Star Wars: The Video Game,PC,0.02,NA,0.01,NA,0.00
Worms World Party,PC,0.02,NA,0.01,NA,0.00
Earth Defense Force 2017 (old JP sales),Xbox 360,0.02,NA,NA,0.02,NA
Gummy Bears Magical Medallion,Wii,0.02,0.01,NA,NA,0.00
Sengoku Hime: Senran ni Mau Otometachi,PlayStation 2,0.02,NA,NA,0.02,NA
GTI Club: Supermini Festa!,Wii,0.02,0.01,NA,0.00,0.00
The Inner World: The Last Wind Monk,Xbox One,0.02,0.01,NA,NA,0.00
Stronghold Legends,PC,0.02,NA,0.01,NA,0.00
Monster Trux Offroad,Wii,0.02,0.01,0.00,NA,0.00
Space Hulk: Deathwing,PlayStation 4,0.02,NA,0.01,NA,0.00
Mission: Impossible - Operation Surma,GameCube,0.02,0.01,0.00,NA,0.00
Romance of the Three Kingdoms XII,Wii U,0.02,NA,NA,0.02,NA
Sora no Otoshimono Forte: Dreamy Season,DS,0.02,NA,NA,0.02,NA
Future Card Buddyfight: Tanjou! Oretachi no Saikyou Body!,3DS,0.02,NA,NA,0.02,NA
Hiiro no Kakera Portable,PSP,0.02,NA,NA,0.02,NA
Trigger Man,GameCube,0.02,0.01,0.00,NA,0.00
Yuu Yuu Hakusho DS: Ankoku Bujutsukai Hen,DS,0.02,NA,NA,0.02,NA
Antz Extreme Racing,Xbox,0.02,0.01,0.00,NA,0.00
Marginal #4: Idol of Supernova,PlayStation Vita,0.02,NA,NA,0.02,NA
The Technomancer,PC,0.02,NA,0.01,NA,0.00
"Nogizaka Haruka no Himitsu Cosplay, Hajime Mashita",PlayStation 2,0.02,NA,NA,0.02,NA
Jet Impulse,DS,0.02,NA,NA,0.02,NA
Triggerheart Exelica,Dreamcast,0.02,NA,NA,0.02,NA
Rewrite,PlayStation Vita,0.02,NA,NA,0.02,NA
Assetto Corsa,Xbox One,0.02,NA,0.01,NA,0.00
Games Explosion!,GBA,0.02,0.01,0.00,NA,0.00
Pharaonic,PlayStation 4,0.02,0.01,NA,NA,0.00
Tennis no Oji-Sama: Card Hunter,PlayStation 2,0.02,NA,NA,0.02,NA
GRIP: Combat Racing,Switch,0.02,0.01,NA,NA,0.00
Night Wizard the Video Game: Denial of the World,PlayStation 2,0.02,NA,NA,0.02,NA
Portable Island: Tenohira Resort,PSP,0.02,NA,NA,0.02,NA
Sengoku Efuda Yuugi: Hototogisu Ran,PSP,0.02,NA,NA,0.02,NA
WRC 6,PC,0.02,NA,0.01,NA,0.00
Enemy Territory: Quake Wars,PC,0.02,0.01,0.00,NA,0.00
Tokyo Friend Park II DS,DS,0.02,NA,NA,0.02,NA
Adventure Time: The Secret of the Nameless,3DS,0.02,0.01,NA,NA,0.00
Hitotsu Tobashi Renai V,PlayStation Vita,0.02,NA,NA,0.02,NA
Kao the Kangaroo Round 2,PlayStation 2,0.02,0.01,0.01,NA,0.00
Star Trek: Legacy,PC,0.02,NA,0.01,NA,0.00
Robopon 2: Ring Version,GBA,0.02,0.01,0.00,NA,0.00
Shin Hisui no Shizuku: Hiiro no Kakera 2 Portable,PSP,0.02,NA,NA,0.02,NA
Le Tour de France 2017,Xbox One,0.02,NA,0.01,NA,0.00
Dragon Tales: Dragon Adventures,GBA,0.02,0.01,0.00,NA,0.00
Dream Dancer,DS,0.02,0.01,NA,NA,0.00
Moe Moe 2-ji Taisen (Ryoku) * Deluxe,PSP,0.02,NA,NA,0.02,NA
Powerbike,DS,0.02,0.01,NA,NA,0.00
Tokyo Clanpool,PlayStation Vita,0.02,NA,NA,0.02,NA
Violet no Atelier: Gramnad no Renkinjutsushi 2 - Gunjou no Omoide,PSP,0.02,NA,NA,0.02,NA
Elminage II DS Remix: Sousei no Megami to Unmai no Daichi,DS,0.02,NA,NA,0.02,NA
Gaku * Ou: The Royal Seven Stars + Meteor,PSP,0.02,NA,NA,0.02,NA
Online Chess Kingdoms,PSP,0.02,0.01,NA,NA,0.00
Rayman 10th Anniversary,GBA,0.02,0.01,0.00,NA,0.00
Achtung Panzer: Kharkov 1943,PC,0.02,NA,0.01,NA,0.00
Crayola Scoot,Xbox One,0.02,0.01,NA,NA,0.00
Dance! It's Your Stage,Wii,0.02,NA,0.01,NA,0.00
RollerCoaster Tycoon: Gold Edition,PC,0.02,0.01,NA,NA,0.00
Gears of War,PC,0.02,0.00,0.01,NA,0.00
Lock's Quest,Xbox One,0.02,0.01,NA,NA,0.00
