title,console,total_sale,na_sale,pal_sale,japan_sale,other_sale,platform
Call of Duty: Infinite Warfare    ,XOne,4.79,2.91,1.44,N/A,0.44,Xbox One
Crash Team Racing    ,PS,4.79,2.57,1.57,0.44,0.21,PlayStation
LEGO Star Wars: The Complete Saga    ,DS,4.77,2.83,1.49,N/A,0.45,DS
Batman: Arkham City    ,X360,4.75,2.99,1.28,0.04,0.44,Xbox 360
Driver 2    ,PS,4.73,2.36,2.10,0.02,0.25,PlayStation
Splatoon    ,WiiU,4.71,1.58,1.30,1.56,0.27,Wii U
The Simpsons: Hit & Run    ,PS2,4.70,1.73,2.19,N/A,0.79,PlayStation 2
Tony Hawk's Pro Skater 2    ,PS,4.68,3.05,1.41,0.02,0.20,PlayStation
Monster Hunter: World    ,PS4,4.67,1.03,1.06,2.17,0.42,PlayStation 4
The Lord of the Rings: The Two Towers    ,PS2,4.67,1.94,1.95,0.08,0.70,PlayStation 2
Animal Crossing: City Folk    ,Wii,4.65,1.84,1.13,1.32,0.36,Wii
Tomb Raider    ,PS,4.63,2.29,1.97,0.13,0.24,PlayStation
Nintendo Land    ,WiiU,4.63,2.52,1.23,0.51,0.38,Wii U
The Legend of Zelda: A Link to the Past    ,SNES,4.61,2.42,0.91,1.15,0.13,SNES
Forza Motorsport 4    ,X360,4.60,2.08,1.98,0.06,0.49,Xbox 360
The Legend of Zelda: The Wind Waker    ,GC,4.60,2.60,0.99,0.89,0.13,GameCube
Guitar Hero III: Legends of Rock    ,Wii,4.60,3.04,1.12,0.00,0.44,Wii
FIFA 15    ,PS3,4.56,0.59,3.25,0.04,0.68,PlayStation 3
Mario & Sonic at the Olympic Winter Games    ,Wii,4.54,1.87,1.97,0.22,0.48,Wii
Overwatch    ,PS4,4.54,1.84,1.80,0.17,0.73,PlayStation 4
Madden NFL 2005    ,PS2,4.53,4.18,0.26,0.01,0.08,PlayStation 2
Guitar Hero III: Legends of Rock    ,X360,4.53,3.19,0.91,0.01,0.42,Xbox 360
Star Wars Battlefront II (2017)    ,PS4,4.53,1.70,1.99,0.12,0.73,PlayStation 4
Pitfall!    ,2600,4.50,4.21,0.24,N/A,0.05,2600
Madden NFL 07    ,PS2,4.49,3.63,0.24,0.01,0.61,PlayStation 2
Spider-Man: The Movie    ,PS2,4.48,2.71,1.51,0.03,0.23,PlayStation 2
Dragon Quest VII    ,PS,4.47,0.20,0.14,4.10,0.02,PlayStation
The Elder Scrolls IV: Oblivion    ,X360,4.47,2.89,1.03,0.13,0.41,Xbox 360
God of War    ,PS2,4.45,2.71,1.29,0.02,0.43,PlayStation 2
Tony Hawk's Pro Skater 3    ,PS2,4.41,2.66,1.29,0.01,0.46,PlayStation 2
Winning Eleven: Pro Evolution Soccer 2007    ,PS2,4.39,0.10,2.39,1.05,0.86,PlayStation 2
Zelda II: The Adventure of Link    ,NES,4.38,2.19,0.50,1.61,0.08,NES
Michael Jackson: The Experience    ,Wii,4.37,2.64,1.33,0.01,0.39,Wii
Tom Clancy's The Division    ,PS4,4.37,1.49,2.04,0.16,0.69,PlayStation 4
Need for Speed: Most Wanted    ,PS2,4.37,2.03,1.79,0.08,0.47,PlayStation 2
Resistance: Fall of Man    ,PS3,4.37,1.74,1.72,0.14,0.76,PlayStation 3
Tom Clancy's Rainbow Six: Siege    ,PS4,4.36,1.29,2.06,0.36,0.64,PlayStation 4
Call of Duty: Advanced Warfare    ,X360,4.34,2.81,1.13,0.00,0.41,Xbox 360
Sonic the Hedgehog    ,GEN,4.34,3.03,0.91,0.26,0.13,GEN
Kingdom Hearts II    ,PS2,4.33,2.20,0.58,1.38,0.17,PlayStation 2
Watch Dogs    ,PS4,4.32,1.40,2.13,0.11,0.68,PlayStation 4
Asteroids    ,2600,4.31,4.00,0.26,N/A,0.05,2600
Batman: Arkham Asylum    ,PS3,4.28,2.26,1.33,0.07,0.63,PlayStation 3
Fable II    ,X360,4.28,2.51,1.24,0.11,0.41,Xbox 360
Call of Duty: Advanced Warfare    ,PS3,4.27,1.59,1.81,0.20,0.67,PlayStation 3
