title,console,console_developer,n_platforms,genre,release_year,publisher,developer,critic_score,total_sale,na_sale,pal_sale,japan_sale,other_sale
Minority Report: Everybody Runs,Xbox,Microsoft,4,action,2002,Activision,Treyarch,5.4,0.1,0.07,0.02,0,0
Rygar: The Battle of Argus,Wii,Nintendo,1,action,2009,Tecmo,Tecmo,5.2,0.09,0.09,0,0,0.01
Shrek SuperSlam,Xbox,Microsoft,2,action,2005,Activision,Shaba Games,7.1,0.09,0.07,0.02,0,0
New Legends,Xbox,Microsoft,1,action,2002,THQ,Infinite Machine,5.6,0.09,0.07,0.02,0,0
Crimson Sea,Xbox,Microsoft,1,action,2002,KOEI,Koei,7.8,0.09,0.04,0.01,0.04,0
Spider-Man: Edge of Time,Wii,Nintendo,4,action,2011,Activision,Beenox,6.2,0.09,0.06,0.02,0,0.01
The Suffering: Ties That Bind,Xbox,Microsoft,2,action,2005,Midway Games,Surreal Software,7.6,0.09,0.07,0.02,0,0
Forgotten Realms: Demon Stone,Xbox,Microsoft,2,action,2004,Atari,Stormfront Studios,7.2,0.09,0.06,0.02,0,0
Warriors Orochi 3 Hyper,Wii U,Nintendo,1,action,2012,Tecmo Koei,Koei,6.4,0.08,0.04,0.03,0.02,0.01
Samurai Warriors Chronicles 3,3DS,Nintendo,2,action,2015,Tecmo Koei,Omega Force,6.3,0.08,0,0,0.08,0
Hello Kitty: Roller Rescue,GameCube,Nintendo,1,action,2005,Namco,XPEC,6.4,0.08,0.06,0.02,0,0
Tornado Outbreak,Xbox 360,Microsoft,3,action,2009,Konami,Loose Cannon Studios,6.2,0.08,0.07,0,0,0.01
Prey the Stars,DS,Nintendo,1,action,2008,KOEI,Koei Canada,6.6,0.08,0.07,0,0,0.01
Dynasty Warriors 9,Xbox One,Microsoft,2,action,2018,Tecmo Koei,Omega Force,5.6,0.08,0.06,0.01,0,0.01
Harry Potter and the Sorcerer's Stone,GameCube,Nintendo,6,action,2003,Electronic Arts,Warthog,6.2,0.08,0.06,0.02,0,0
Looney Tunes: Acme Arsenal,Xbox 360,Microsoft,3,action,2007,Warner Bros. Interactive,Red Tribe,4,0.08,0.06,0.01,0,0.01
Disney's Meet the Robinsons,Xbox 360,Microsoft,2,action,2007,Disney Interactive Studios,Avalanche Software,6.5,0.08,0.07,0,0,0.01
Superman: Shadow of Apokolips,GameCube,Nintendo,2,action,2003,Atari,Infogrames,6.6,0.08,0.06,0.02,0,0
RoadKill,Xbox,Microsoft,3,action,2003,Midway Games,Terminal Reality,6.8,0.08,0.06,0.02,0,0
World Series of Poker 2008: Battle for the Bracelets,Xbox 360,Microsoft,1,action,2007,Activision,Unknown,7.4,0.08,0.06,0.01,0,0.01
Evil Dead: Regeneration,Xbox,Microsoft,2,action,2005,THQ,Cranky Pants Games,6.6,0.08,0.06,0.02,0,0
Toy Soldiers: War Chest,Xbox One,Microsoft,2,action,2015,Ubisoft,Signal Studios,6,0.08,0.07,0,0,0.01
The Legend of Kage 2,DS,Nintendo,1,action,2008,Taito,Taito Corporation,7,0.08,0.07,0,0,0.01
