title,console,genre,release_date,publisher,developer,total_sale,na_sale,pal_sale,japan_sale,other_sale
Far Cry 5,XOne,action,27th Mar 18,Ubisoft,Ubisoft Montreal,1.78,1.14,0.47,NA,0.17
50 Cent: Bulletproof,PS2,action,17th Nov 05,Vivendi Games,Genuine,1.77,0.85,0.76,NA,0.16
State of Emergency,PS2,action,12th Feb 02,Rockstar Games,VIS Entertainment,1.76,0.86,0.67,NA,0.22
2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,GBA,action,27th Feb 07,THQ,Helixe / Altron,1.76,1.26,0.47,NA,0.03
Kinect Star Wars,X360,action,03rd Apr 12,Microsoft Studios,Terminal Reality,1.76,1.05,0.53,0.03,0.15
Just Cause 2,PS3,action,23rd Mar 10,Square Enix,Avalanche Studios,1.75,0.45,0.92,0.06,0.32
For Honor,PS4,action,14th Feb 17,Ubisoft,Ubisoft Montreal,1.75,0.73,0.66,0.07,0.28
LEGO City Undercover: The Chase Begins,3DS,action,21st Apr 13,Nintendo,TT Fusion,1.74,0.54,0.99,0.08,0.12
Twisted Metal III,PS,action,31st Oct 98,989 Studios,989 Studios,1.73,1.48,0.20,NA,0.05
Harry Potter and the Sorcerer's Stone,GB,action,21st Nov 01,Electronic Arts,Griptonite Games,1.73,0.94,0.62,0.10,0.07
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,PS2,action,21st Oct 03,Rockstar Games,Rockstar North,1.72,0.85,0.66,NA,0.22
Hitman: Absolution,X360,action,20th Nov 12,Square Enix,IO Interactive,1.70,0.68,0.88,0.01,0.13
Ben 10: Protector of Earth,DS,action,30th Oct 07,D3 Publisher,1st Playable Productions,1.70,0.68,0.82,NA,0.19
Saints Row IV,X360,action,20th Aug 13,Deep Silver,Volition Inc.,1.69,1.01,0.51,0.01,0.15
Harry Potter and the Sorcerer's Stone,GBA,action,15th Nov 01,Electronic Arts,Griptonite Games,1.69,0.87,0.66,0.08,0.08
Resident Evil 4,GC,action,11th Jan 05,Capcom,Capcom Production Studio 4,1.69,0.98,0.42,0.22,0.06
Saints Row 2,PS3,action,14th Oct 08,THQ,Volition Inc.,1.68,0.88,0.54,0.02,0.24
